カテゴリ,用語,説明
基本概念,ソースコード,人間がプログラミング言語で書いたテキスト形式の設計図。
基本概念,アルゴリズム,問題を解決するための手順や計算の手順。
基本概念,コンパイル,ソースコードをコンピュータが実行可能な形式に一括変換すること。
基本概念,ビルド,コンパイルやライブラリの結合を行い、実行可能なファイルを作ること。
基本概念,インタプリタ,コードを1行ずつ読み込みながら即座に実行する方式。
基本概念,構文 (シンタックス),プログラミング言語における記述のルール。
基本概念,バイナリ,コンピュータが直接理解できる0と1のデータ形式。
基本概念,アセンブラ,機械語と1対1で対応する低水準言語。
データ操作,変数,データを一時的に保存しておくための名前付きの箱。
データ操作,定数,一度代入すると後から値を変更できない変数。
データ操作,データ型,数値、文字列、真偽値など、データの種類。
データ操作,整数型 (int),小数点を含まない数値のデータ型。
データ操作,浮動小数点型 (float/double),小数点を含む数値のデータ型。
データ操作,文字列型 (string),テキスト（文字の連なり）を扱うデータ型。
データ操作,真偽値型 (boolean),「真 (true)」か「偽 (false)」の2値のみを持つ型。
データ操作,配列 (array),複数のデータを順番に並べて管理するデータ構造。
データ操作,リスト,配列に似ているが、要素の追加や削除が柔軟なデータ構造。
データ操作,連想配列 (ハッシュ/辞書),キーと値のペアでデータを管理する構造。
データ操作,ヌル (null/None),「値が存在しない」ことを示す特別な状態。
データ操作,キャスト,データの型を別の型に強制的に変換すること。
制御構造,条件分岐 (if文),条件によって実行する処理を分ける仕組み。
制御構造,ループ (for/while文),特定の処理を指定回数や条件を満たすまで繰り返すこと。
制御構造,無限ループ,終了条件が満たされず、永遠に繰り返されてしまう状態。
制御構造,演算子,足し算(+)や比較(==)など、計算や判定を行う記号。
制御構造,代入,変数に値を入れること。
制御構造,論理演算,AND(かつ)、OR(または)、NOT(否定)を用いた条件判定。
制御構造,スコープ,変数が有効な（参照できる）範囲。
制御構造,グローバル変数,プログラムのどこからでも参照できる変数。
制御構造,ローカル変数,特定の関数やブロック内でのみ有効な変数。
プログラム構成,関数 (メソッド),特定の処理をひとまとめにして名前をつけた単位。
プログラム構成,引数 (ひきすう),関数を呼び出す際に外から渡すデータ。
プログラム構成,戻り値 (返り値),関数が処理を終えた後に呼び出し元に返す結果。
プログラム構成,再帰,関数の中で自分自身を呼び出す手法。
プログラム構成,モジュール,プログラムを機能単位で分割した部品。
プログラム構成,ライブラリ,再利用可能な便利なプログラムを集めたファイル群。
プログラム構成,パッケージ,複数のモジュールをフォルダ構造などでまとめたもの。
プログラム構成,フレームワーク,開発の土台となる、特定のルールに沿った枠組み。
プログラム構成,API,外部のプログラム機能を利用するための窓口・規約。
オブジェクト指向,クラス,オブジェクトを作るための「設計図」や「型」。
オブジェクト指向,インスタンス,クラス（設計図）から実体として生成されたもの。
オブジェクト指向,オブジェクト,データと処理をひとまとめにした実体。
オブジェクト指向,プロパティ (フィールド),オブジェクトが持つ属性（データ）。
オブジェクト指向,メソッド,オブジェクトが行う振る舞い（処理）。
オブジェクト指向,コンストラクタ,インスタンス生成時に自動で実行される初期化処理。
オブジェクト指向,継承 (インヘリタンス),あるクラスの機能を引き継いで新しいクラスを作ること。
オブジェクト指向,カプセル化,データや内部処理を隠し、外部から直接触らせないこと。
