カテゴリ,用語,説明
インフラ,サーバー,サービスや機能、データを提供するためのコンピュータ。
インフラ,クライアント,サーバーからサービスを受ける側のデバイス（PCやスマホ）。
インフラ,クラウド,ネット経由でコンピューティング資源を利用する形態。
インフラ,オンプレミス,自社内に物理的なサーバー機器を設置・運用する形態。
インフラ,仮想化,1台の物理サーバー上で複数の仮想的なサーバーを動かす技術。
インフラ,ホストサーバー,仮想マシンを動かしている土台となる物理サーバー。
インフラ,インスタンス,クラウド上で起動させた仮想サーバーの単位。
インフラ,ストレージ,データを長期間保存しておくための補助記憶装置。
インフラ,NAS,ネットワークに直接接続して共有できるHDD/SSD。
インフラ,データセンター,サーバーやネットワーク機器を設置するための専用施設。
インフラ,可用性,システムが止まることなく継続して稼働し続ける能力。
インフラ,冗長化,故障に備えて予備の装置を予めに用意し、二重化すること。
インフラ,負荷分散 (ロードバランス),アクセスを複数のサーバーに振り分けて負担を軽くすること。
インフラ,スケーラビリティ,状況に応じてシステムの規模を柔軟に拡張できる能力。
インフラ,オートスケーリング,負荷に応じてサーバー台数を自動で増減させる機能。
ネットワーク,IPアドレス,ネットワーク上の機器を識別するための住所（数字）。
ネットワーク,ドメイン,IPアドレスを人間が分かりやすい名前に変換したもの。
ネットワーク,DNS,ドメイン名とIPアドレスを紐付けて管理する仕組み。
ネットワーク,プロトコル,コンピュータ同士が通信するための共通の約束事。
ネットワーク,HTTP/HTTPS,Webサイトのデータをやり取りするためのプロトコル。
ネットワーク,SSL/TLS,通信を暗号化してセキュリティを高める技術。
ネットワーク,ポート番号,サーバー内で動く特定のサービスを識別する番号。
ネットワーク,ルーター,異なるネットワーク同士を接続し、経路を制御する機器。
ネットワーク,スイッチ (ハブ),LAN内で複数の機器を接続し、データを中継する機器。
ネットワーク,LAN,社内や家庭内など、限定された範囲のネットワーク。
ネットワーク,WAN,広い地理的範囲を結ぶネットワーク（インターネットなど）。
ネットワーク,VPN,公衆回線に仮想的な専用線を作って安全に通信する技術。
ネットワーク,プロキシ,通信を中継し、代理でアクセスを行うサーバー。
ネットワーク,ゲートウェイ,規格の異なるネットワーク同士を繋ぐ出入り口。
ネットワーク,MACアドレス,ネットワーク機器ごとに割り当てられた固有の物理番号。
ネットワーク,帯域 (帯域幅),ネットワーク通信で一度に送れるデータの量。
ネットワーク,パケット,通信データを細かく分割した際の情報のまとまり。
セキュリティ,ファイアウォール,不正な通信を遮断するためのネットワークの壁。
セキュリティ,IDS/IPS,不正侵入を検知・防御するためのシステム。
セキュリティ,WAF,Webアプリケーションへの攻撃に特化した防御システム。
セキュリティ,脆弱性,システムやソフトにおける安全上の欠陥（セキュリティホール）。
セキュリティ,マルウェア,ウイルスやワームなど、悪意のあるソフトの総称。
セキュリティ,ランサムウェア,データを暗号化して身代金を要求するウイルス。
セキュリティ,フィッシング,偽サイトへ誘導して情報を盗む詐欺手法。
セキュリティ,ブルートフォース攻撃,パスワードを総当たりで試して突破する攻撃。
セキュリティ,多要素認証 (MFA),パスワード以外の要素（スマホ通知など）を組み合わせた認証。
セキュリティ,暗号化,データを特別なルールで変換し、第三者に読めなくすること。
セキュリティ,復号,暗号化されたデータを元の状態に戻すこと。
セキュリティ,デジタル署名,送信者が本人であることと、改ざんがないことを証明する技術。
セキュリティ,ルート権限,システムに対する全ての操作が可能な最高権限。
セキュリティ,ゼロトラスト,「何も信頼しない」を前提に、全てのアクセスを検証する考え方。
