カテゴリ,用語,説明
UIパーツ,ヘッダー,ページ上部の共通エリア。ロゴやメニューを配置。
UIパーツ,フッター,ページ下部の共通エリア。著作権表示やリンクを配置。
UIパーツ,サイドバー,メインコンテンツの横に配置される補足メニュー。
UIパーツ,グローバルナビゲーション,サイト全体の主要ページへ導く案内メニュー。
UIパーツ,ローカルナビゲーション,特定のカテゴリ内での移動を促すメニュー。
UIパーツ,パンくずリスト,現在のページ位置を階層で示すテキストリンク。
UIパーツ,ハンバーガーメニュー,三本線のアイコンで表示される折りたたみ式メニュー。
UIパーツ,メインビジュアル,トップページ最上部の大きな視覚要素。
UIパーツ,ヒーローイメージ,ユーザーの目を引く巨大なバナー画像や動画。
UIパーツ,カルーセル,複数のコンテンツを左右にスライドさせて表示する仕組み。
UIパーツ,スライダー,画像などを一定時間で切り替えて表示する機能。
UIパーツ,カード,画像や文字を1つの塊としてまとめた四角い枠。
UIパーツ,アコーディオン,クリックで詳細情報を開閉するパーツ。
UIパーツ,モーダルウィンドウ,背後を暗くして手前に浮かび上がるウィンドウ。
UIパーツ,ダイアログ,ユーザーに確認や選択を求める小さなウィンドウ。
UIパーツ,タブ,複数の表示内容を切り替えるための見出しパーツ。
UIパーツ,ツールチップ,マウスホバー時に表示される補足情報の吹き出し。
UIパーツ,バッジ,未読件数や新着を示す小さな円形の記号。
UIパーツ,タグ,情報の分類を示すための短いキーワードのラベル。
UIパーツ,ラベル,各入力項目や項目の名称を示すテキスト。
UIパーツ,プレースホルダー,入力欄の中に薄く表示される入力例。
UIパーツ,プログレスバー,処理の進行状況をバーの長さで示す要素。
UIパーツ,インジケーター,現在の状態や位置を点などで示す記号。
UIパーツ,スピナー,読み込み中を示す回転するアイコン。
UIパーツ,ローダー,コンテンツの読み込み状況を伝える演出要素。
UIパーツ,スナックバー,操作の結果を画面下部に短時間表示する通知。
UIパーツ,トースト,画面の端に数秒間だけ表示される通知。
UIパーツ,通知ドット,アイコンの右上に表示される未読ありの赤い点。
UIパーツ,アラート,重要な警告やエラーを知らせる枠。
UIパーツ,バナー,広告や告知のために設置される画像パーツ。
UIパーツ,ボタン,クリックやタップでアクションを実行する要素。
UIパーツ,フローティングアクションボタン (FAB),画面に浮いた状態で配置される主要操作ボタン。
UIパーツ,ゴーストボタン,背景が透明で枠線のみのボタン。
UIパーツ,アイコンボタン,文字ではなく図記号のみで機能を示すボタン。
UIパーツ,リンク,別のページや場所に移動するためのテキスト。
UIパーツ,ページネーション,長いリストを複数ページに分割する番号。
UIパーツ,もっと見るボタン,追加の情報を読み込ませるためのボタン。
UIパーツ,セグメントコントロール,2〜5つ程度の選択肢から1つを選ぶバー状のパーツ。
UIパーツ,ステッパー,数値の増減や手順の段階を示すパーツ。
UIパーツ,ブレード,画面横からスライドして出てくる詳細パネル。
UIパーツ,セクション,意味的なまとまりを持つコンテンツの区切り。
UIパーツ,コンテナ,要素を一定の幅で中央に寄せるための器。
UIパーツ,ディバイダー,要素同士を分けるための境界線。
UIパーツ,セパレーター,コンテンツのつながりを切るための余白や線。
UIパーツ,ファビコン,ブラウザのタブに表示される小さなサイトアイコン。
UIパーツ,ロゴ,サイト名やブランドを象徴する図案。
UIパーツ,検索バー,キーワードを入力してサイト内を検索する枠。
UIパーツ,ツールバー,編集ツールや機能が並んだ操作バー。
UIパーツ,ステータスバー,時計や電波状況などが表示される最上部の帯。
UIパーツ,ボトムナビゲーション,スマホアプリの画面下部に並ぶ主要メニュー。
フォーム,テキストフィールド,1行の文字を入力する枠。
フォーム,入力フォーム,ユーザーに情報を入力してもらうための仕組み。
フォーム,テキストエリア,複数行にわたる文章を入力する枠。
フォーム,パスワードフィールド,入力文字が伏せ字になる入力枠。
フォーム,チェックボックス,複数の選択肢から複数選べる四角い枠。
フォーム,ラジオボタン,複数の選択肢から1つだけ選ぶ円形のボタン。
フォーム,トグルスイッチ,ON/OFFを切り替えるスイッチ状のパーツ。
フォーム,プルダウンメニュー,クリックして下に表示される選択肢から選ぶ形式。
フォーム,ドロップダウン,クリックでリストが展開される選択UI。
フォーム,セレクトボックス,複数の選択肢をまとめたリスト形式の入力。
フォーム,日付ピッカー,カレンダーから日付を選択するUI。
フォーム,時刻ピッカー,時計から時間を選択するUI。
フォーム,カラーピッカー,色見本から色を選択するUI。
フォーム,ファイルアップローダー,PCやスマホからファイルを選択・送信する機能。
フォーム,ドラッグ＆ドロップエリア,ファイルを掴んで放すことで入力できるエリア。
フォーム,スライダー入力,つまみを左右に動かして数値を調整する入力。
フォーム,ステッパー入力,「＋」「ー」ボタンで数値を増減させる入力。
フォーム,検索窓,キーワードを入力して情報を探すための専用枠。
フォーム,送信ボタン,入力した情報をサーバーに送るためのボタン。
フォーム,キャンセルボタン,入力や操作を中止するためのボタン。
フォーム,リセットボタン,入力内容をすべて初期状態に戻すボタン。
フォーム,ログインフォーム,IDとパスワードを入力して認証する画面。
フォーム,会員登録フォーム,新しいユーザー情報を登録するための画面。
フォーム,お問い合わせフォーム,運営者にメッセージを送るための専用画面。
フォーム,入力バリデーション,入力内容が正しい形式か自動チェックする機能。
フォーム,エラーメッセージ,入力ミスがあった際に表示される警告文。
フォーム,成功メッセージ,操作が正しく完了したことを伝える文言。
フォーム,オートコンプリート,入力中に候補を表示して補助する機能。
設計・レイアウト,ワイヤーフレーム,色や装飾を省いた骨組みだけの設計図。
設計・レイアウト,プロトタイプ,動きや操作感を確認するための試作品。
設計・レイアウト,モックアップ,完成形に近い見た目をした静止デザイン。
設計・レイアウト,デザインシステム,デザインの一貫性を保つための共通ルール。
設計・レイアウト,スタイルガイド,フォントや色の使用ルールをまとめたドキュメント。
設計・レイアウト,グリッドシステム,画面を格子状に分割して配置を整える手法。
設計・レイアウト,カラム,画面内の縦方向の列。
設計・レイアウト,フレックスボックス,要素を柔軟に並べるためのCSSの仕組み。
設計・レイアウト,レスポンシブ,画面サイズに応じて表示を自動調整する設計。
設計・レイアウト,アダプティブ,特定のデバイスごとに異なるデザインを用意する設計。
設計・レイアウト,ブレイクポイント,レスポンシブ表示が切り替わる基準の横幅。
設計・レイアウト,ビューポート,Webサイトが表示されている表示領域のこと。
設計・レイアウト,ファーストビュー,スクロールせずに最初に見える画面範囲。
設計・レイアウト,アバブ・ザ・フォールド,スクロールより上の領域（ファーストビュー）。
設計・レイアウト,ビロー・ザ・フォールド,スクロールしないと見えない領域。
設計・レイアウト,マージン,要素の外側にある余白。
設計・レイアウト,パディング,要素の内側にある余白。
設計・レイアウト,余白 (ホワイトスペース),要素同士の間にある何もない空間。
設計・レイアウト,タイポグラフィ,文字の読みやすさや美しさを整える手法。
設計・レイアウト,フォントサイズ,文字の大きさ。
設計・レイアウト,行間 (ラインハイト),文章の行と行の間の距離。
設計・レイアウト,文字間 (レタースペーシング),文字と文字の間の横方向の距離。
設計・レイアウト,コントラスト比,文字色と背景色の明度差。
設計・レイアウト,カラースキーム,色彩計画。サイトで使う色の組み合わせ。
設計・レイアウト,グラデーション,色が段階的に変化する効果。
設計・レイアウト,シャドウ (影),要素に立体感を出すための影。
設計・レイアウト,角丸 (角R),要素の角を丸くする処理。
設計・レイアウト,ダークモード,黒や暗い色を基調とした表示モード。
設計・レイアウト,ライトモード,白や明るい色を基調とした標準の表示モード。
設計・レイアウト,階層構造,情報の深さや親子関係を示す構造。
設計・レイアウト,サイトマップ,サイト全体のページ構成を示した地図。
設計・レイアウト,アセット,画像やロゴ、アイコンなど制作に必要な素材ファイル。
状態,ホバー状態,マウスカーソルが要素の上に乗っている状態。
状態,アクティブ状態,ボタンなどが押されている最中の状態。
状態,フォーカス状態,キーボード操作などでその要素が選択されている状態。
状態,非活性状態 (ディセーブル),操作が無効化され、押せない状態。
状態,スケルトンスクリーン,読み込み中にコンテンツの形だけを表示するプレースホルダー。
概念,ユーザビリティ,使いやすさ、迷わずに操作できる度合い。
概念,アクセシビリティ,障害の有無や環境に関わらず利用できる度合い。
概念,UX (ユーザーエクスペリエンス),製品を通じてユーザーが得る体験全体。
概念,UI (ユーザーインターフェース),ユーザーと製品が接する見た目や操作部分。
概念,インタラクション,ユーザーの操作に対するシステム側の反応。
概念,マイクロインタラクション,細かい動作に伴うアニメーションやフィードバック。
概念,トランジション,画面遷移や状態変化の際のアニメーション効果。
概念,アニメーション,要素に動きをつける演出。
概念,イージング,動きの加速・減速の度合い。
概念,CTA (Call To Action),ユーザーに特定の行動を促すボタンやリンク。
概念,LP (ランディングページ),広告などから着地する、1枚完結の紹介ページ。
概念,モバイルファースト,スマホでの見やすさを最優先に設計する考え方。
概念,コンポーネント指向,部品を再利用可能な単位で作成する考え方。
